claim_id,family,designation,claim_text,script,function,output_file,paper_location,status
RQ1-OPEN-SHARE,1,confirmatory,Share of AIDev-pop PRs that are unresolved at snapshot cutoff (is_censored).,analysis/wp1_coactivity.py,open_pr_share,data/derived/wp1_prevalence.csv,sec:rq1,pending
RQ1-HEADLINE-TREATMENT,1,confirmatory,Headline end-time treatment (A or B) under the pre-registered 5pp/10% rule.,analysis/wp1_coactivity.py,headline_treatment,data/derived/wp1_prevalence.csv,sec:rq1,pending
RQ1-PR-LEVEL-K0,1,confirmatory,PR-level co-active share at k=0 for treatments A B C.,analysis/wp1_coactivity.py,pr_level_share,data/derived/wp1_prevalence.csv,tab:prevalence,pending
RQ1-REPO-LEVEL-K0,1,confirmatory,Repo-level co-active share at k=0 (all repos and repos with >=2 PRs).,analysis/wp1_coactivity.py,repo_level_share,data/derived/wp1_prevalence.csv,tab:prevalence,pending
RQ1-K-SWEEP,1,confirmatory,PR- and repo-level co-active shares at k in {0 1 3 7} for the headline treatment.,analysis/wp1_coactivity.py,k_sweep,data/derived/wp1_k_sweep.csv,tab:prevalence,pending
RQ1-K-CURVE,1,confirmatory,PR-level co-active share as a function of continuous k in [0 14].,analysis/wp1_coactivity.py,k_curve,data/derived/wp1_k_curve.csv,fig:kcurve,pending
RQ1-OVERLAP-DURATION,1,confirmatory,Distribution of overlap duration (hours) among k=0 headline pairs.,analysis/wp1_coactivity.py,overlap_duration,data/derived/wp1_overlap_duration.csv,sec:rq1,pending
RQ1-CROSS-PAIR-SHARE,1,confirmatory,Share of k=0 agent-agent pairs that are cross-agent (headline treatment).,analysis/wp1_coactivity.py,cross_pair_share,data/derived/wp1_cross_pairs.csv,sec:rq1,pending
S2-N-REPOS,2,confirmatory,Count of repositories with >=1 intra pair and with >=1 cross pair (headline k=0).,analysis/wp2_sample.py,stratum_repo_counts,data/samples/universe_counts.json,sec:design,pending
S3-N-MATCHED,2,confirmatory,Count of repositories with both an intra and a cross eligible pair.,analysis/wp2_sample.py,matched_repo_count,data/samples/universe_counts.json,sec:design,pending
LEGACY-N,legacy,sensitivity,Legacy sample size and evaluable fraction (747 attempted).,analysis/wp_legacy.py,legacy_availability,data/derived/legacy_rates.csv,sec:legacy,pending
LEGACY-INTRA-RATE,legacy,sensitivity,Legacy intra-agent conflict rate with Wilson 95% CI.,analysis/wp_legacy.py,legacy_intra_rate,data/derived/legacy_rates.csv,sec:legacy,pending
LEGACY-CROSS-RATE,legacy,sensitivity,Legacy cross-agent conflict rate with Wilson 95% CI.,analysis/wp_legacy.py,legacy_cross_rate,data/derived/legacy_rates.csv,sec:legacy,pending
LEGACY-TYPES,legacy,sensitivity,Legacy conflict-signal type shares (content modify/delete add/add other).,analysis/wp_legacy.py,legacy_types,data/derived/legacy_taxonomy.csv,sec:legacy,pending
LEGACY-FILECAT,legacy,sensitivity,Legacy conflicted-file category shares.,analysis/wp_legacy.py,legacy_filecat,data/derived/legacy_taxonomy.csv,sec:legacy,pending
LEGACY-SHARED-REPOS,legacy,exploratory,Count of repositories appearing in both legacy strata.,analysis/wp_legacy.py,legacy_shared_repos,data/derived/legacy_matched.csv,sec:legacy,pending
LEGACY-MCNEMAR,legacy,exploratory,McNemar exact test on legacy shared-repo intra vs cross (motivating analysis).,analysis/wp_legacy.py,legacy_mcnemar,data/derived/legacy_matched.csv,sec:legacy,pending
LEGACY-MULTIVENDOR-INTRA,legacy,exploratory,Intra-agent conflict rate in single-vendor vs multi-vendor repos (Fisher).,analysis/wp_legacy.py,legacy_multivendor_intra,data/derived/legacy_composition.csv,sec:legacy,pending
LEGACY-AGENT-INTRA,legacy,exploratory,Intra-agent conflict rates by agent identity with Wilson CIs.,analysis/wp_legacy.py,legacy_agent_intra,data/derived/legacy_composition.csv,sec:legacy,pending
LEGACY-COMPOSITIONAL-EXPECTATION,legacy,exploratory,Expected cross rate from independent intra agent propensities vs observed.,analysis/wp_legacy.py,legacy_compositional_expectation,data/derived/legacy_composition.csv,sec:legacy,pending
AA-UNMATCHED-RATE,2,confirmatory,Agent-agent intra conflict rate on sample S1 (uniform pair within repo).,analysis/wp3_confound.py,s1_intra_rate,data/derived/wp3_rates.csv,tab:rates,pending
AA-CROSS-RATE,2,confirmatory,Agent-agent cross conflict rate on sample S2.,analysis/wp3_confound.py,s2_cross_rate,data/derived/wp3_rates.csv,tab:rates,pending
AA-BOOTSTRAP,2,confirmatory,Bootstrap (B=200) distribution of intra and cross rates under pair re-draws.,analysis/wp3_confound.py,pair_bootstrap,data/derived/wp3_bootstrap.csv,tab:rates,pending
AA-REALIZED-FRICTION,4,secondary,Conflict rate among pairs where both PRs merged.,analysis/wp3_confound.py,realized_friction,data/derived/wp3_realized.csv,tab:rates,pending
F2-FISHER-RAW,2,confirmatory,Fisher exact plus Newcombe RD for unmatched S1 vs S2.,analysis/wp3_confound.py,unmatched_fisher,data/derived/wp3_tests.csv,tab:cross,pending
F2-MCNEMAR,2,confirmatory,McNemar exact on designed match S3 (primary confound-controlled test).,analysis/wp3_confound.py,matched_mcnemar,data/derived/wp3_tests.csv,tab:cross,pending
F2-GEE-OR,2,confirmatory,GEE logistic OR for cross with pre-registered covariates.,analysis/wp3_confound.py,gee_cross_or,data/derived/wp3_tests.csv,tab:cross,pending
F2-COMPOSITION,2,confirmatory,Compositional expected cross rate vs observed on S2/S3.,analysis/wp3_confound.py,compositional_expectation,data/derived/wp3_tests.csv,tab:cross,pending
F2-AGENT-INDICATORS,2,exploratory,GEE with agent-presence indicators (collinearity caveat required).,analysis/wp3_confound.py,gee_agent_indicators,data/derived/wp3_exploratory.csv,sec:cross,pending
F3-AA-RATE,3,confirmatory,Agent-agent conflict rate in S3 repos (one pair per repo).,analysis/wp4_human_baseline.py,aa_rate_s3,data/derived/wp4_rates.csv,tab:human,pending
F3-HH-RATE,3,confirmatory,Human-human conflict rate in the same S3 repositories.,analysis/wp4_human_baseline.py,hh_rate_s3,data/derived/wp4_rates.csv,tab:human,pending
F3-HA-RATE,3,confirmatory,Human-agent conflict rate in the same S3 repositories.,analysis/wp4_human_baseline.py,ha_rate_s3,data/derived/wp4_rates.csv,tab:human,pending
F3-MCNEMAR-AA-HH,3,confirmatory,Within-repo McNemar AA vs HH.,analysis/wp4_human_baseline.py,mcnemar_aa_hh,data/derived/wp4_tests.csv,tab:human,pending
F3-MCNEMAR-AA-HA,3,confirmatory,Within-repo McNemar AA vs HA.,analysis/wp4_human_baseline.py,mcnemar_aa_ha,data/derived/wp4_tests.csv,tab:human,pending
F3-GEE-STRATUM,3,confirmatory,GEE logistic OR for HH and HA vs AA reference.,analysis/wp4_human_baseline.py,gee_stratum,data/derived/wp4_tests.csv,tab:human,pending
F3-TYPE-PROFILE,3,confirmatory,Conflict-type group x stratum test of independence and Cramers V.,analysis/wp4_human_baseline.py,type_profile_test,data/derived/wp4_types.csv,tab:types,pending
F5-BUILD,5,confirmatory,Build-conflict rate among textually clean WP5 pairs.,analysis/wp5_build_test.py,build_rate,data/derived/wp5_rates.csv,sec:wp5,pending
F5-TEST,5,confirmatory,Test-failure rate among successfully built WP5 pairs.,analysis/wp5_build_test.py,test_rate,data/derived/wp5_rates.csv,sec:wp5,pending
F5-FLAKY,5,confirmatory,Flakiness count from repeated base runs.,analysis/wp5_build_test.py,flaky_count,data/derived/wp5_rates.csv,sec:wp5,pending
F6-AUC,6,optional,Repo-grouped CV ROC-AUC vs base-rate baseline (open-time features only).,analysis/wp6_predict.py,grouped_cv_auc,data/derived/wp6_predict.csv,sec:predict,pending
